2010-01-30,00:05,79.99.6.106,tracker_affiliate_page,sbv1424d,,,other
2010-01-30,00:14,216.104.15.134,tracker_elite_bar,paw1200,,1277,
2010-01-30,00:14,216.104.15.134,tracker_elite_bar,awm1316e,,1281,
2010-01-30,00:14,216.104.15.134,tracker_elite_bar,g1341xr,,1288,
2010-01-30,00:14,216.104.15.134,tracker_elite_bar,x1379kda,,1306,
2010-01-30,00:14,216.104.15.134,tracker_elite_bar,fmj1361,,1316,
2010-01-30,00:15,216.104.15.138,tracker_elite_bar,paw1200,,1277,
2010-01-30,00:15,216.104.15.138,tracker_elite_bar,awm1316e,,1281,
2010-01-30,00:15,216.104.15.138,tracker_elite_bar,g1341xr,,1288,
2010-01-30,00:15,216.104.15.138,tracker_elite_bar,x1379kda,,1306,
2010-01-30,00:15,216.104.15.138,tracker_elite_bar,fmj1361,,1316,
2010-01-30,00:20,150.70.84.153,tracker_elite_bar,paw1200,,1277,
2010-01-30,00:20,150.70.84.153,tracker_elite_bar,awm1316e,,1281,
2010-01-30,00:20,150.70.84.153,tracker_elite_bar,g1341xr,,1288,
2010-01-30,00:20,150.70.84.153,tracker_elite_bar,x1379kda,,1306,
2010-01-30,00:20,150.70.84.153,tracker_elite_bar,fmj1361,,1316,
2010-01-30,00:22,150.70.84.26,tracker_elite_bar,paw1200,,1277,
2010-01-30,00:22,150.70.84.26,tracker_elite_bar,awm1316e,,1281,
2010-01-30,00:22,150.70.84.26,tracker_elite_bar,g1341xr,,1288,
2010-01-30,00:22,150.70.84.26,tracker_elite_bar,x1379kda,,1306,
2010-01-30,00:22,150.70.84.26,tracker_elite_bar,fmj1361,,1316,
2010-01-30,00:26,72.234.14.105,tracker_affiliate_page,awm1316e,,,other
2010-01-30,00:26,72.234.14.105,tracker_pushy_widget,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,
2010-01-30,00:26,72.234.14.105,tracker_widget_category,awm1316e,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,101
2010-01-30,00:26,72.234.14.105,tracker_widget_category,awm1316e,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,130
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads,awm1316e,,1280,
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads_mysites,awm1316e,,1280,
2010-01-30,00:26,72.234.14.105,tracker_ad_category,awm1316e,,1280,101
2010-01-30,00:26,72.234.14.105,tracker_ad_category,awm1316e,,1280,130
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads,fmj1361,,1316,
2010-01-30,00:26,72.234.14.105,tracker_ad_category,fmj1361,,1316,101
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,00:26,72.234.14.105,tracker_ad_category,rfe1319,,1317,108
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads,paw1200,,1277,
2010-01-30,00:26,72.234.14.105,tracker_ad_category,paw1200,,1277,101
2010-01-30,00:26,72.234.14.105,tracker_ad_category,paw1200,,1277,108
2010-01-30,00:26,72.234.14.105,tracker_ad_category,paw1200,,1277,118
2010-01-30,00:26,72.234.14.105,tracker_ad_category,paw1200,,1277,130
2010-01-30,00:26,72.234.14.105,tracker_ad_category,paw1200,,1277,145
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads,g1341xr,,1288,
2010-01-30,00:26,72.234.14.105,tracker_ad_category,g1341xr,,1288,101
2010-01-30,00:26,72.234.14.105,tracker_ad_category,g1341xr,,1288,108
2010-01-30,00:26,72.234.14.105,tracker_ad_category,g1341xr,,1288,130
2010-01-30,00:26,72.234.14.105,tracker_ad_category,g1341xr,,1288,138
2010-01-30,00:26,72.234.14.105,tracker_ad_category,g1341xr,,1288,139
2010-01-30,00:26,72.234.14.105,tracker_ad_category,g1341xr,,1288,145
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads,x1379kda,,1306,
2010-01-30,00:26,72.234.14.105,tracker_ad_category,x1379kda,,1306,130
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads,awm1316e,,1281,
2010-01-30,00:26,72.234.14.105,tracker_pushy_ads_mysites,awm1316e,,1281,
2010-01-30,00:26,72.234.14.105,tracker_ad_category,awm1316e,,1281,111
2010-01-30,00:26,72.234.14.105,tracker_ad_category,awm1316e,,1281,130
2010-01-30,00:36,72.234.14.105,tracker_pushy_widget,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,
2010-01-30,00:47,69.62.154.161,tracker_pushy_widget,pushy,8a467121ba41e8087268188c3d1257a2@pushyblog,,
2010-01-30,00:47,69.62.154.161,tracker_widget_category,pushy,8a467121ba41e8087268188c3d1257a2@pushyblog,,101
2010-01-30,00:47,69.62.154.161,tracker_widget_category,pushy,8a467121ba41e8087268188c3d1257a2@pushyblog,,108
2010-01-30,00:47,69.62.154.161,tracker_pushy_ads,sbv1424d,,1320,
