2010-02-04,00:27,76.230.215.60,tracker_pushy_widget,wnx1487m,c3e890ce2b09e0bdf14343eab3648c4d@the_hugh_fraser_blog,,
2010-02-04,00:36,72.0.173.162,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,101
2010-02-04,00:36,72.0.173.162,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,130
2010-02-04,00:38,216.104.15.142,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,101
2010-02-04,00:38,216.104.15.142,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,130
2010-02-04,00:38,216.104.15.142,tracker_pushy_ads,awm1316e,,1280,
2010-02-04,00:38,216.104.15.142,tracker_ad_category,awm1316e,,1280,101
2010-02-04,00:38,216.104.15.142,tracker_ad_category,awm1316e,,1280,130
2010-02-04,00:38,216.104.15.142,tracker_pushy_ads,fmj1361,,1316,
2010-02-04,00:38,216.104.15.142,tracker_ad_category,fmj1361,,1316,101
2010-02-04,00:38,216.104.15.142,tracker_pushy_ads,rfe1319,,1317,
2010-02-04,00:38,216.104.15.142,tracker_ad_category,rfe1319,,1317,108
2010-02-04,00:38,216.104.15.142,tracker_pushy_ads,awm1316e,,1281,
2010-02-04,00:38,216.104.15.142,tracker_ad_category,awm1316e,,1281,111
2010-02-04,00:38,216.104.15.142,tracker_ad_category,awm1316e,,1281,130
2010-02-04,00:38,216.104.15.142,tracker_pushy_ads,x1379kda,,1306,
2010-02-04,00:38,216.104.15.142,tracker_ad_category,x1379kda,,1306,130
2010-02-04,00:38,216.104.15.142,tracker_pushy_ads,g1341xr,,1288,
2010-02-04,00:38,216.104.15.142,tracker_ad_category,g1341xr,,1288,101
2010-02-04,00:38,216.104.15.142,tracker_ad_category,g1341xr,,1288,108
2010-02-04,00:38,216.104.15.142,tracker_ad_category,g1341xr,,1288,130
2010-02-04,00:38,216.104.15.142,tracker_ad_category,g1341xr,,1288,138
2010-02-04,00:38,216.104.15.142,tracker_ad_category,g1341xr,,1288,139
2010-02-04,00:38,216.104.15.142,tracker_ad_category,g1341xr,,1288,145
2010-02-04,00:38,216.104.15.142,tracker_pushy_ads,sbv1424d,,1319,
2010-02-04,00:38,216.104.15.142,tracker_ad_category,sbv1424d,,1319,116
2010-02-04,00:38,216.104.15.142,tracker_ad_category,sbv1424d,,1319,118
2010-02-04,00:38,216.104.15.142,tracker_ad_category,sbv1424d,,1319,119
2010-02-04,00:38,216.104.15.142,tracker_ad_category,sbv1424d,,1319,124
2010-02-04,00:38,216.104.15.142,tracker_ad_category,sbv1424d,,1319,130
2010-02-04,00:38,216.104.15.142,tracker_ad_category,sbv1424d,,1319,137
2010-02-04,00:38,112.200.94.104,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,01:00,75.101.221.99,tracker_affiliate_page,pushy,,,
2010-02-04,01:14,66.249.68.129,tracker_affiliate_page,pushy,,,
2010-02-04,01:15,221.120.225.130,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,01:15,221.120.225.130,tracker_widget_category,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,101
