2010-02-09,20:41,127.0.0.1,tracker_affiliate_page,paw1200,,,
2010-02-09,20:41,127.0.0.1,tracker_pushy_widget,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,
2010-02-09,20:41,127.0.0.1,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,101
2010-02-09,20:41,127.0.0.1,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,130
2010-02-09,20:41,127.0.0.1,tracker_pushy_ads,g1341xr,,1288,
2010-02-09,20:41,127.0.0.1,tracker_ad_category,g1341xr,,1288,101
2010-02-09,20:41,127.0.0.1,tracker_ad_category,g1341xr,,1288,108
2010-02-09,20:41,127.0.0.1,tracker_ad_category,g1341xr,,1288,130
2010-02-09,20:41,127.0.0.1,tracker_ad_category,g1341xr,,1288,138
2010-02-09,20:41,127.0.0.1,tracker_ad_category,g1341xr,,1288,139
2010-02-09,20:41,127.0.0.1,tracker_ad_category,g1341xr,,1288,145
2010-02-09,20:41,127.0.0.1,tracker_pushy_ads,awm1316e,,1279,
2010-02-09,20:41,127.0.0.1,tracker_ad_category,awm1316e,,1279,130
2010-02-09,20:41,127.0.0.1,tracker_pushy_ads,fmj1361,,1316,
2010-02-09,20:41,127.0.0.1,tracker_ad_category,fmj1361,,1316,101
2010-02-09,20:41,127.0.0.1,tracker_pushy_ads,sbv1424d,,1320,
2010-02-09,20:41,127.0.0.1,tracker_ad_category,sbv1424d,,1320,108
2010-02-09,20:41,127.0.0.1,tracker_ad_category,sbv1424d,,1320,137
2010-02-09,20:41,127.0.0.1,tracker_pushy_ads,rfe1319,,1326,
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1326,106
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1326,111
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1326,117
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1326,123
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1326,140
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1326,142
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1326,146
2010-02-09,20:41,127.0.0.1,tracker_pushy_ads,awm1316e,,1280,
2010-02-09,20:41,127.0.0.1,tracker_ad_category,awm1316e,,1280,101
2010-02-09,20:41,127.0.0.1,tracker_ad_category,awm1316e,,1280,130
2010-02-09,20:41,127.0.0.1,tracker_pushy_ads,rfe1319,,1317,
2010-02-09,20:41,127.0.0.1,tracker_ad_category,rfe1319,,1317,108
2010-02-09,23:18,127.0.0.1,tracker_pushy_ads,sbv1424d,,1319,
2010-02-09,23:18,127.0.0.1,tracker_ad_category,sbv1424d,,1319,116
2010-02-09,23:18,127.0.0.1,tracker_ad_category,sbv1424d,,1319,118
2010-02-09,23:18,127.0.0.1,tracker_ad_category,sbv1424d,,1319,119
2010-02-09,23:18,127.0.0.1,tracker_ad_category,sbv1424d,,1319,124
2010-02-09,23:18,127.0.0.1,tracker_ad_category,sbv1424d,,1319,130
2010-02-09,23:18,127.0.0.1,tracker_ad_category,sbv1424d,,1319,137
2010-02-09,23:18,127.0.0.1,tracker_elite_bar,awm1316e,,1280,
2010-02-09,23:18,127.0.0.1,tracker_elite_bar,g1341xr,,1288,
2010-02-09,23:18,127.0.0.1,tracker_elite_bar,fmj1361,,1316,
2010-02-09,23:18,127.0.0.1,tracker_elite_bar,rfe1319,,1317,
2010-02-09,23:18,127.0.0.1,tracker_elite_bar,sbv1424d,,1319,
